times,suhu_sealing_vertikal_bawah,suhu_sealing_vertikal_atas,suhu_sealing_horizontal_depan,suhu_sealing_horizontal_belakang,output_time_sec
2025-01-15 15:05:54,174.5,174.6,209.3,209.3,25251.0
2025-01-15 15:08:55,174.5,174.6,209.3,209.3,25431.0
2025-01-15 15:12:14,174.5,174.6,209.3,209.3,25628.0
2025-01-15 15:15:14,174.5,174.6,209.3,209.3,25809.0
2025-01-15 15:18:12,174.5,174.6,209.3,209.3,15.0
2025-01-15 15:21:09,174.5,174.6,209.3,209.3,198.0
2025-01-15 15:24:02,174.5,174.6,209.3,209.3,371.0
2025-01-15 15:27:12,174.5,174.6,209.3,209.3,563.0
2025-01-15 15:30:14,174.5,174.6,209.3,209.3,743.0
2025-01-15 15:33:11,174.5,174.6,209.3,209.3,917.0
2025-01-15 15:36:20,174.5,174.6,209.3,209.3,1101.0
2025-01-15 15:39:17,174.5,174.6,209.3,209.3,1281.0
2025-01-15 15:42:11,174.5,174.6,209.3,209.3,1421.0
2025-01-15 15:45:14,174.5,174.6,209.3,209.3,1604.0
2025-01-15 15:48:11,174.5,174.6,209.3,209.3,1778.0
2025-01-15 15:51:32,174.5,174.6,209.3,209.3,1979.0
2025-01-15 15:55:23,174.5,174.6,209.3,209.3,2188.0
2025-01-15 15:58:19,174.5,174.6,209.3,209.3,2306.0
2025-01-15 16:01:11,174.5,174.6,209.3,209.3,2482.0
2025-01-15 16:04:28,174.5,174.6,209.3,209.3,2638.0
2025-01-15 16:07:32,174.5,174.6,209.3,209.3,2825.0
2025-01-15 16:10:26,174.5,174.6,209.3,209.3,3002.0
2025-01-15 16:13:33,174.5,174.6,209.3,209.3,3182.0
2025-01-15 16:16:33,174.5,174.6,209.3,209.3,3320.0
2025-01-15 16:19:24,174.5,174.6,209.3,209.3,3406.0
2025-01-15 16:22:23,174.5,174.6,209.3,209.3,3448.0
2025-01-15 16:25:11,174.5,174.6,209.3,209.3,3579.0
2025-01-15 16:28:11,174.5,174.6,209.3,209.3,3756.0
2025-01-15 16:31:29,174.5,174.6,209.3,209.3,3918.0
2025-01-15 16:34:30,174.5,174.6,209.3,209.3,4092.0
2025-01-15 16:37:26,174.5,174.6,209.3,209.3,4272.0
2025-01-15 16:40:31,174.5,174.6,209.3,209.3,4458.0
2025-01-15 16:43:32,174.5,174.6,209.3,209.3,4504.0
2025-01-15 16:46:25,174.5,174.6,209.3,209.3,4601.0
2025-01-15 16:49:29,174.5,174.6,209.3,209.3,4793.0
2025-01-15 16:52:26,174.5,174.6,209.3,209.3,4965.0
2025-01-15 16:55:26,174.5,174.6,209.3,209.3,5080.0
2025-01-15 16:58:20,174.5,174.6,209.3,209.3,5160.0
2025-01-15 17:01:14,174.5,174.6,209.3,209.3,5249.0
2025-01-15 17:04:26,174.5,174.6,209.3,209.3,5307.0
2025-01-15 17:07:28,174.5,174.6,209.3,209.3,5451.0
2025-01-15 17:10:23,174.5,174.6,209.3,209.3,5619.0
2025-01-15 17:13:18,174.5,174.6,209.3,209.3,5802.0
2025-01-15 17:16:29,174.5,174.6,209.3,209.3,5991.0
2025-01-15 17:19:29,174.5,174.6,209.3,209.3,6171.0
2025-01-15 17:21:57,174.5,174.6,209.3,209.3,6250.0
2025-01-15 17:24:51,174.5,174.6,209.3,209.3,6384.0
2025-01-15 17:27:43,174.5,174.6,209.3,209.3,6492.0
